iter,psnr
1,9.921103
2,8.947838
3,10.533896
4,10.275543
5,10.266551
6,10.365558
7,10.583792
8,11.023169
9,11.628978
10,12.011120
11,11.619205
12,11.884818
13,12.313921
14,12.848727
15,12.865026
16,12.823354
17,12.998013
18,13.242908
19,13.402164
20,13.201431
21,13.630859
22,13.809623
23,14.337296
24,14.643233
25,14.438127
26,14.379310
27,14.801279
28,14.786846
29,15.033937
30,15.275126
31,15.358316
32,15.647680
33,15.928065
34,15.922180
35,16.148783
36,16.417435
37,16.551811
38,16.529982
39,16.686367
40,16.698248
41,16.884600
42,17.271515
43,17.339632
44,17.496006
45,17.569416
46,17.886667
47,17.883057
48,18.021549
49,18.278715
50,18.424572
51,18.602089
52,18.716812
53,18.858686
54,18.958612
55,18.974798
56,19.314234
57,19.461329
58,19.682306
59,19.583261
60,19.909807
61,19.743589
62,19.917566
63,20.067032
64,20.169069
65,20.392345
66,20.832350
67,20.452232
68,20.772711
69,20.738352
70,20.919014
71,21.042879
72,21.144571
73,21.217066
74,21.142403
75,21.589111
76,21.708124
77,21.782393
78,21.665232
79,21.809706
80,21.728704
81,21.795748
82,21.909094
83,22.158390
84,22.191753
85,22.172369
86,22.188456
87,22.476938
88,22.124651
89,22.208572
90,22.656237
91,22.390400
92,22.595663
93,22.565495
94,22.624613
95,22.529266
96,22.517111
97,22.812946
98,22.714502
99,22.923471
100,22.846376
101,22.765596
102,22.996357
103,22.972275
104,22.740070
105,22.691895
106,22.791933
107,23.037449
108,23.302919
109,22.982008
110,23.297234
111,23.210979
112,22.954679
113,23.517376
114,22.936338
115,23.324299
116,23.077002
117,23.491753
118,23.346281
119,23.298897
120,23.526175
121,23.294739
122,23.521040
123,23.555470
124,23.439093
125,23.624847
126,23.549067
127,23.456949
128,23.369144
129,23.595932
130,23.949587
131,23.692905
132,23.825962
133,23.634010
134,23.672085
135,23.760614
136,23.870813
137,23.893797
138,23.797539
139,23.620316
140,23.929098
141,23.751703
142,23.734026
143,23.750275
144,23.203909
145,23.146088
146,23.454300
147,24.021658
148,23.571230
149,23.374924
150,23.875942
151,23.869862
152,23.736320
153,23.865908
154,23.759472
155,23.659163
156,23.726871
157,23.861975
158,24.038172
159,24.065868
160,24.014910
161,23.775845
162,24.039730
163,23.946674
164,23.878122
165,23.896395
166,24.074913
167,24.038738
168,24.157211
169,24.012980
170,23.987896
171,24.007769
172,24.003088
173,23.628420
174,24.196936
175,24.250225
176,24.215973
177,24.022280
178,23.909470
179,24.416109
180,24.273344
181,24.246920
182,24.063927
183,24.355227
184,24.418991
185,24.280773
186,24.322853
187,24.076918
188,24.243877
189,24.448566
190,24.229769
191,24.225275
192,24.342541
193,24.299335
194,24.220490
195,24.121490
196,24.143965
197,24.599760
198,24.752878
199,24.397810
200,24.516867
201,24.339506
202,24.343462
203,24.395031
204,24.707264
205,24.627859
206,24.487501
207,24.490307
208,24.574713
209,24.482916
210,24.704983
