iter,psnr
1,11.743593
2,9.533928
3,12.342646
4,12.383377
5,12.779432
6,13.748734
7,14.818971
8,14.702119
9,15.076316
10,15.681717
11,16.309673
12,16.473660
13,16.832327
14,17.270205
15,17.676970
16,18.081789
17,18.185980
18,18.168507
19,18.323662
20,18.646353
21,18.953411
22,19.043962
23,19.268112
24,19.563490
25,19.939539
26,20.309135
27,20.453180
28,20.474836
29,20.708187
30,21.139164
31,21.390249
32,21.731403
33,21.711643
34,21.731936
35,22.094416
36,22.408037
37,22.630369
38,22.770376
39,22.747681
40,22.811440
41,23.250706
42,23.326317
43,23.208231
44,23.525427
45,23.451609
46,23.649294
47,23.733599
48,23.545507
49,23.847372
50,23.752882
51,24.089409
52,24.261843
53,24.325827
54,24.387287
55,24.206678
56,24.343128
57,24.738432
58,24.413994
59,24.700914
60,24.659801
61,24.933817
62,24.650557
63,25.018084
64,24.855783
65,25.177708
66,24.956648
67,25.069590
68,25.249441
69,25.194403
70,25.301561
71,25.380924
72,25.366404
73,25.608969
74,25.645838
75,25.516966
76,25.794504
77,25.593878
78,25.726984
79,25.917496
80,25.787622
81,25.652216
82,25.753878
83,25.996479
84,26.018660
85,26.097179
86,26.133913
87,26.112879
88,26.180336
89,26.219135
90,26.211298
91,26.342558
92,26.446026
93,26.266611
94,26.380135
95,26.583086
96,26.157810
97,26.315340
98,26.178751
99,26.543146
100,26.539436
101,26.511988
102,26.712999
103,26.727365
104,26.885897
105,26.751165
106,26.690769
107,26.619230
108,26.519333
109,26.835287
110,26.678265
111,26.728083
112,26.692131
113,26.820436
114,27.214706
115,26.802933
116,26.981335
117,26.972492
118,26.983751
119,27.037336
120,27.418827
121,26.959211
122,26.997231
123,26.907436
124,26.952536
125,27.271265
126,27.028913
127,27.257565
128,27.243252
129,26.820454
130,26.643856
131,26.874989
132,27.450544
133,26.841101
134,26.976397
135,26.799187
136,27.085861
137,27.215115
138,27.185318
139,27.329782
140,27.050947
141,26.947048
142,27.464951
143,27.588263
144,27.441519
145,27.198946
146,27.408298
147,27.671194
148,27.443190
149,27.570087
150,27.483601
151,27.466183
152,27.628695
153,27.838371
154,27.576893
155,27.565540
156,27.648264
157,27.886375
158,27.587524
159,27.608311
160,27.412329
161,27.157867
162,27.375412
163,27.450129
164,27.498949
165,27.758461
166,27.627934
167,27.412657
168,27.552862
169,27.969040
170,27.611919
171,27.442793
172,27.643490
173,27.685665
174,27.968914
175,27.682131
176,27.630117
177,28.063070
178,27.839722
179,28.052837
180,27.706699
181,27.905556
182,27.865677
183,27.651297
184,27.629444
185,27.723915
186,28.020182
187,28.003428
188,27.876083
189,28.117546
190,27.777067
191,28.144718
192,27.733820
193,27.589712
194,27.794773
195,27.760126
196,28.215439
197,28.043789
198,28.254959
199,28.300945
200,27.767895
201,28.231176
202,28.076250
203,28.085470
204,28.001984
205,27.864000
206,27.987360
207,28.027899
208,28.221409
209,28.005066
210,28.320078
211,28.209209
212,27.929001
213,28.294577
214,28.033314
215,28.003141
216,28.245684
217,28.178173
218,28.065557
219,28.515202
220,28.403460
221,28.118258
222,28.493898
223,28.338249
224,28.359886
225,28.326738
226,28.121401
227,28.311285
228,28.199852
229,28.471209
230,28.474775
231,28.577423
232,28.182438
233,28.259113
234,28.506937
235,28.106661
236,28.594809
237,28.318935
238,28.425100
239,28.390085
240,28.368946
241,28.590786
242,28.232286
243,28.532074
244,28.437353
245,28.667673
246,28.120342
247,27.737673
248,27.776218
249,27.465876
250,27.638508
251,28.165039
252,28.498020
253,28.199705
254,28.236773
255,28.145138
256,28.507332
257,28.353254
258,28.412645
259,28.175854
260,28.265892
261,28.425632
262,28.009907
263,28.508640
264,28.311180
265,28.475153
266,28.352093
267,28.641352
268,28.596697
269,28.497202
270,28.641880
271,28.311174
272,28.529139
273,28.423391
274,28.355680
275,28.900393
276,28.586878
277,28.725864
278,28.870321
279,28.691534
280,28.487778
281,28.467127
282,28.490601
283,28.575529
284,28.093315
285,28.555624
286,28.495953
287,28.601976
288,28.727938
289,28.475311
290,28.617468
291,28.774864
292,28.908268
293,28.692272
294,29.012115
295,28.823242
296,28.718990
297,28.914261
298,28.846550
299,29.027815
300,28.851961
301,28.654249
302,28.527637
303,28.394892
304,28.671286
305,28.098347
306,28.156054
307,28.720139
308,28.391310
309,28.330500
310,28.106546
311,28.216156
312,28.698315
313,28.387707
314,28.344648
315,28.469431
316,28.760523
317,28.431494
318,28.298944
319,28.567081
320,28.407070
321,28.236481
322,28.286833
323,28.757999
324,28.785757
325,28.613960
326,28.729197
327,28.983091
328,28.829924
329,28.767786
330,28.701420
331,28.816277
332,28.843203
333,28.672199
334,28.797403
335,28.714718
336,28.467516
337,28.719763
338,28.610275
339,28.690477
340,28.324806
341,28.330030
342,28.841656
343,28.259741
344,28.694061
345,29.103823
346,28.587896
347,28.773027
348,28.957005
349,28.851099
350,28.717407
351,28.785168
352,29.131416
353,29.027431
354,28.887735
355,28.732101
356,28.805042
357,28.889336
358,28.580341
359,28.946836
360,29.182627
361,28.599895
362,28.562141
363,29.160433
364,29.040909
365,28.415541
366,28.523321
367,28.837885
368,29.263348
369,28.717100
370,29.082884
371,29.041739
372,28.897825
373,28.519964
374,28.793177
375,29.183874
376,28.756662
377,28.954542
378,29.193470
379,28.967081
380,28.866144
381,28.960466
382,28.808153
383,29.144976
384,29.122162
385,29.022804
386,28.992422
387,29.046909
388,28.837347
389,28.766136
390,28.990473
391,28.844625
392,29.054155
393,28.991627
394,28.656071
395,28.798006
396,29.148460
397,29.122597
398,29.066589
399,29.153059
400,28.998686
401,28.885233
402,28.893826
403,28.940849
404,28.560997
405,29.276299
406,29.095320
407,29.192205
408,29.076971
409,29.116232
410,29.571648
411,28.918749
412,29.128752
413,29.551834
414,28.982033
415,29.523106
416,29.257088
417,28.855820
418,29.104261
419,29.165462
420,29.109995
421,29.529835
422,29.052168
423,28.888918
424,29.173172
425,28.748255
426,28.827288
427,29.212006
428,29.241806
429,29.207228
430,28.979258
431,29.291679
432,29.434181
433,29.427622
434,29.013304
435,29.611053
436,29.171545
437,29.435019
438,29.249681
439,29.413031
440,28.918297
441,28.934717
442,29.541769
443,29.432062
444,29.251057
445,29.031223
446,28.803265
447,29.322062
448,29.238102
449,29.454227
450,29.329451
451,29.289679
452,29.112846
453,29.171541
454,29.234646
455,29.066982
456,29.507561
457,29.041142
458,28.986998
459,29.248177
460,29.236774
461,29.207848
462,28.812044
463,28.654312
464,28.836143
465,29.098574
466,29.058809
467,28.944853
468,29.233065
469,29.467381
470,28.831800
471,29.205076
472,28.876335
473,29.074760
474,29.038761
475,29.065422
476,29.377640
477,29.367413
478,29.173214
479,29.337666
480,29.281321
481,29.141338
482,29.280039
483,29.813438
484,29.119543
485,29.148180
486,28.933512
487,29.233242
488,29.091017
489,29.233690
490,28.762823
491,29.577440
492,29.426512
493,28.892002
494,29.112631
495,29.587185
496,29.167768
497,29.132515
498,29.201385
499,29.290316
500,29.485197
501,29.598537
502,29.191963
503,29.280739
504,29.260687
505,29.315315
506,28.897057
507,29.354355
508,29.164955
509,29.180687
510,29.420570
511,29.174423
